"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01008288",9126,28.09,0.23,0.16,31.68,0.86,0.06,18.66,9.8,0.33,0.31
"E01008289",1845,52.22,0.37,0.29,59.15,1.39,0.6,21.6,7.38,0.42,0.41
"E01008290",1115,58.01,0.37,0.32,71.51,1.41,1.03,15.96,15.7,0.44,0.36
"E01008291",110,74.88,0.5,0.39,93.62,1.91,1.28,22.55,9.33,0.5,0.58
"E01008292",26619,8.1,0.07,0.08,11.11,-0.16,-0.72,5.23,8.16,0.09,0.09
"E01008293",16311,17.51,0.1,0.1,11.81,0.56,0.28,28.57,9.35,0.08,0.17
"E01008294",23787,10.34,0.07,0.06,9.19,0.07,-1.09,31.53,4.3,0.08,0.12
"E01008295",1933,51.71,0.38,0.27,65.11,1.27,0.35,26.55,7.07,0.47,0.29
"E01008296",6526,33.99,0.21,0.2,38.55,0.99,0.2,31.68,8.83,0.31,0.22
"E01008297",1662,53.52,0.36,0.29,56.55,1.87,0.41,17.67,14.67,0.44,0.43
"E01008298",7324,32.01,0.19,0.16,36.44,1.38,0.68,21.84,8.92,0.21,0.31
"E01008299",2527,48.42,0.32,0.23,61.09,1.51,1.22,17.9,10.54,0.44,0.33
"E01008300",3791,42.45,0.3,0.21,43.29,1.66,0.84,18.06,10.49,0.34,0.44
"E01008301",4728,39.28,0.26,0.19,45.45,1.5,0.6,23.19,16.03,0.43,0.3
"E01008302",1240,56.89,0.38,0.29,69.5,1.81,0.6,19.8,14.27,0.54,0.36
"E01008303",726,62.48,0.37,0.34,70.98,2.06,0.67,21.38,17.32,0.48,0.45
"E01008304",221,71.27,0.47,0.39,66.58,2.29,0.79,25.3,18.63,0.66,0.44
"E01008305",403,67.35,0.45,0.34,74.64,1.65,1.01,27.91,11.96,0.57,0.39
"E01008306",13282,21.23,0.16,0.15,24.86,0.78,-0.95,14.11,3.51,0.22,0.16
"E01008307",6429,34.25,0.27,0.18,32.79,1.66,-0.84,23.65,6.06,0.3,0.37
"E01008308",12898,21.75,0.14,0.12,20.99,0.88,-1.24,29.82,10.65,0.16,0.2
"E01008309",32779,1.44,0.02,0.03,0.31,-0.67,-1.92,1.93,7.53,0.01,0.03
"E01008311",28751,6.36,0.05,0.06,3.64,-0.08,-1.49,21.55,6.18,0.05,0.1
"E01008312",27667,7.26,0.06,0.06,4.52,0.08,-1.08,21.27,3.96,0.07,0.07
"E01008313",22395,11.49,0.1,0.09,9.69,-0.04,-0.25,17.89,5.11,0.11,0.13
"E01008314",21758,12.04,0.08,0.07,19.85,0.17,-0.88,20.03,13.66,0.11,0.15
"E01008315",22944,11.06,0.12,0.08,8.43,0.01,-0.66,7.59,14.64,0.17,0.16
"E01008316",27726,7.22,0.05,0.07,8.04,-0.19,-1.35,18.83,10.65,0.04,0.08
"E01008317",32438,2.42,0.03,0.03,0.8,-0.63,-1.14,9.95,9.18,0.03,0.05
"E01008318",7998,30.47,0.23,0.18,34.96,1.02,-0.57,16.06,23.46,0.25,0.34
"E01008319",31051,4.23,0.03,0.04,2.62,-0.96,-1.72,27.46,5.11,0.02,0.07
"E01008320",22160,11.7,0.1,0.1,10.07,0.26,-1.51,4.38,11.9,0.1,0.15
"E01008321",29949,5.35,0.06,0.04,0.84,-0.1,-1.99,20.93,5.4,0.04,0.13
"E01008322",29639,5.58,0.05,0.08,3.01,-0.22,-1.66,7.77,7.96,0.05,0.07
"E01008323",22719,11.24,0.08,0.07,13.54,0.45,-2.05,15.07,10.01,0.13,0.2
"E01008324",5058,38.22,0.29,0.21,50.69,0.89,0.5,19.43,10.71,0.38,0.26
"E01008325",2686,47.55,0.32,0.26,55.03,1.49,0.65,23.12,4.5,0.35,0.34
"E01008326",25263,9.15,0.07,0.07,10.1,0.22,-0.58,10.47,7.42,0.09,0.11
"E01008327",1018,58.99,0.37,0.3,58.13,1.66,1.28,33.33,8.05,0.53,0.29
"E01008328",26567,8.14,0.05,0.08,9.55,0.15,-0.65,7.57,4.62,0.06,0.07
"E01008329",13225,21.32,0.16,0.14,29.27,0.6,-0.12,16.31,5.26,0.18,0.25
"E01008330",4970,38.47,0.29,0.21,37.45,1.33,0.39,26.02,5.09,0.37,0.33
"E01008331",1457,55.04,0.42,0.27,45.88,1.56,0.95,27.23,7.83,0.45,0.7
"E01008332",296,69.28,0.45,0.33,74.78,1.87,1.49,22.48,11.2,0.47,0.52
"E01008333",1996,51.32,0.29,0.29,38.95,2.4,0.78,25.57,13.81,0.22,0.41
"E01008334",5096,38.11,0.29,0.21,38.49,0.91,1.04,16.22,15.67,0.32,0.31
"E01008335",5824,35.86,0.27,0.2,36.18,0.96,0.74,20.43,10.09,0.27,0.36
"E01008336",5696,36.2,0.28,0.23,34.96,1.31,-0.12,14.59,8.71,0.38,0.33
"E01008337",6920,32.98,0.27,0.19,40.75,1.16,-0.55,16.57,5.82,0.33,0.26
"E01008338",6494,34.08,0.28,0.2,54.33,0.88,-0.78,17.22,6.15,0.49,0.23
"E01008339",3333,44.36,0.33,0.25,49.19,1.55,0,20.26,10.93,0.42,0.42
"E01008340",1136,57.77,0.39,0.32,73.51,1.79,-0.32,20.46,8.94,0.44,0.48
"E01008341",5512,36.81,0.25,0.23,37.27,1.41,-0.07,14.15,18.28,0.25,0.38
"E01008342",21941,11.88,0.07,0.08,11.97,0.48,-1.29,13.28,21.31,0.07,0.09
"E01008343",15680,18.23,0.16,0.11,19.08,0.51,0.24,9.42,8.07,0.21,0.14
"E01008344",7335,31.97,0.22,0.19,30.4,0.88,0.96,18.05,8.19,0.29,0.26
"E01008345",3117,45.34,0.31,0.27,46.4,1.18,0.92,21.74,6.68,0.36,0.33
"E01008346",13575,20.86,0.15,0.09,37.72,0.43,0.26,16.49,13.45,0.33,0.29
"E01008347",13058,21.53,0.14,0.16,22.49,0.54,0.38,7.29,8.76,0.13,0.18
