lsoa11cd,r_dom,h_dom,e_dom,ahah,gpp_d,ed_d,dent_d,pharm_d,gamb_d,ffood_d,leis_d,green900,pubs2_d,off2_d,tobac_d,no2,pm10,so2
E01008288,23.14624562,15.62370642,7.404038049,15.39365379,0.940666667,5.988,0.852333333,0.84,1.022666667,1.495666667,4.437,0.689514808,0.962,1.652333333,1.538666667,12.36246458,10.23468379,0.974586228
E01008289,36.69115017,13.36852359,8.81009722,19.56070966,0.8715625,5.4871875,0.8578125,0.7525,0.9228125,0.8134375,3.8475,0.520055327,0.6790625,1.0609375,0.9490625,12.49475194,10.25344104,0.980776113
E01008290,33.58269044,9.298013033,10.31370476,17.64713485,0.535588235,5.269705882,1.097647059,0.557352941,1.04,0.675,3.341176471,0.412113847,1.733823529,0.787941176,0.675,12.61043529,10.30837119,0.998226819
E01008291,41.89340042,5.644492081,12.09953424,19.73679574,0.520408163,4.162040816,0.869387755,0.426734694,0.802040816,0.424489796,2.58,0.406859334,2.687346939,0.554693878,0.429591837,13.13506953,10.37315551,1.049629152
E01008292,24.83335287,13.82245014,6.116594132,14.91311556,0.9825,6.12625,0.6925,0.6925,0.7025,1.884583333,4.971666667,0.917099048,0.53,2.262916667,2.149583333,12.10716903,10.21412991,0.968540882
E01008293,10.42642985,21.40828213,7.176963012,13.08793557,1.886,5.919666667,1.257666667,1.324333333,1.344333333,1.56,1.758,0.610405792,1.349666667,2.904333333,5.582333333,11.7206938,10.23473297,0.954138502
E01008294,16.07123069,11.40936458,7.090162992,11.52244387,2.722,6.392,0.524,0.8732,0.8732,0.8436,0.8732,0.596862183,0.86,3.7124,6.7112,11.4690249,10.30075616,0.9522887
E01008295,8.533275324,24.72948517,7.243210441,13.61426526,2.192647059,6.214411765,1.296176471,1.176176471,1.143823529,1.978235294,2.617647059,0.663404827,1.894705882,3.362941176,5.740294118,12.10562605,10.19552029,0.964069725
E01008296,9.8799499,22.31031251,6.711941499,13.06083042,1.6185,5.66825,1.3965,1.35825,1.3735,1.926,2.1315,0.689972471,1.65625,2.31025,4.82625,11.73946186,10.2056219,0.955814689
E01008297,21.45939838,9.985524496,5.129468226,12.16940431,1.210731707,4.812439024,0.748292683,0.489756098,0.483658537,1.454634146,2.846585366,1.176653217,1.899756098,1.027804878,3.588780488,11.86557626,10.18005389,0.959958763
E01008298,11.26774254,21.7320876,7.118318548,13.45630994,1.6634375,5.55875,1.405,1.07625,1.0478125,1.890625,2.569375,0.613116514,1.995,1.9215625,4.4440625,11.6959121,10.19683673,0.955324228
E01008299,20.43290917,13.9797679,6.10240266,13.50977399,1.458333333,5.106,1.034,0.538666667,0.495333333,1.372666667,3.212333333,0.786651754,2.021666667,1.157,3.682,11.49297657,10.25887966,0.952266196
E01008300,23.97973419,5.729484276,5.02769765,11.52047716,0.6065,4.18125,0.6145,0.447,0.66075,0.90525,2.9955,1.37059211,1.99925,0.7135,3.35925,12.27687656,10.15641329,0.972130888
E01008301,12.11519094,22.37066931,11.41651331,15.37148997,1.628888889,4.445833333,1.821944444,1.521666667,1.558055556,1.682777778,1.850277778,0.572918239,1.6825,3.066944444,2.124444444,14.2942665,10.69320261,1.025090844
E01008302,24.9860083,9.857389684,15.63229298,16.75555191,1.226,4.211142857,1.048,0.815714286,0.794857143,1.010857143,1.007714286,0.31383117,1.010857143,2.029428571,1.776857143,14.28482913,10.68093483,1.02326164
E01008303,54.12414901,1.070741889,13.94183359,22.8258265,0.39875,3.559861111,0.43625,0.346666667,0.5075,0.254027778,0.609722222,0.418597277,0.37625,1.59125,0.892777778,14.59397183,10.63878155,1.027654957
E01008304,36.05893222,5.85686254,13.78774637,18.4407372,0.650689655,3.195517241,0.997931034,0.613218391,0.76816092,0.580804598,1.327816092,0.428273109,0.672528736,2.463333333,0.811034483,14.57211214,10.62918774,1.030109082
