2011 super output area - lower layer,All usual residents,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over
E01008294 : Newcastle upon Tyne 001A,1517,105,61,34,52,12,26,94,42,12,15
E01008306 : Newcastle upon Tyne 001B,1636,65,47,28,95,22,43,194,118,35,11
E01008307 : Newcastle upon Tyne 001C,1029,56,35,20,63,11,18,84,87,27,15
E01008308 : Newcastle upon Tyne 001D,1395,90,40,32,78,13,33,133,79,13,7
E01008311 : Newcastle upon Tyne 001E,1677,127,52,35,68,19,47,102,61,17,1
E01008312 : Newcastle upon Tyne 001F,1264,90,65,30,94,11,24,73,25,7,2
E01008313 : Newcastle upon Tyne 001G,1217,86,46,25,65,22,28,79,34,6,1
E01008309 : Newcastle upon Tyne 002A,1829,108,69,38,123,31,53,188,195,63,24
E01008352 : Newcastle upon Tyne 002C,1484,93,60,37,94,19,43,109,99,21,7
E01008357 : Newcastle upon Tyne 002D,1637,62,46,29,116,23,48,164,128,37,18
E01008358 : Newcastle upon Tyne 002E,1477,87,35,34,58,14,22,128,89,38,9
E01033550 : Newcastle upon Tyne 002F,2056,238,139,68,147,25,49,50,43,12,4
E01033551 : Newcastle upon Tyne 002G,1754,93,54,45,84,12,43,210,121,38,12
E01008336 : Newcastle upon Tyne 003A,1366,94,40,24,69,11,25,130,106,20,8
E01008337 : Newcastle upon Tyne 003B,1445,104,61,33,123,14,45,125,81,34,16
E01008338 : Newcastle upon Tyne 003C,1259,93,58,23,83,24,43,75,54,10,6
E01008339 : Newcastle upon Tyne 003D,1457,57,56,34,113,15,46,103,86,21,6
E01008340 : Newcastle upon Tyne 003E,1488,138,53,56,116,23,43,53,44,15,9
E01008341 : Newcastle upon Tyne 003F,1423,79,49,37,90,24,31,109,95,42,9
E01008342 : Newcastle upon Tyne 003G,1388,49,29,13,44,15,25,163,158,43,17
E01008293 : Newcastle upon Tyne 004A,1447,92,30,37,81,20,42,98,64,9,4
E01008456 : Newcastle upon Tyne 004B,1498,84,59,44,79,30,41,140,115,25,5
E01008457 : Newcastle upon Tyne 004C,1565,105,45,22,62,23,34,120,115,28,21
E01008458 : Newcastle upon Tyne 004D,1661,82,44,31,83,21,34,176,158,37,27
E01008459 : Newcastle upon Tyne 004E,1982,226,130,65,157,32,62,102,88,26,24
E01008460 : Newcastle upon Tyne 004F,1550,100,52,51,146,34,51,142,95,11,5
E01008351 : Newcastle upon Tyne 005A,1469,91,50,23,83,11,31,148,125,23,23
E01008354 : Newcastle upon Tyne 005B,1708,120,51,28,102,14,30,107,73,22,10
E01008418 : Newcastle upon Tyne 005C,2011,109,56,47,124,24,44,149,106,49,35
E01008420 : Newcastle upon Tyne 005D,1347,57,44,31,99,11,35,132,68,27,30
E01008422 : Newcastle upon Tyne 005E,1646,83,46,23,75,13,34,106,68,26,20
E01008424 : Newcastle upon Tyne 005F,1743,110,33,21,47,10,14,66,64,25,12
E01008353 : Newcastle upon Tyne 006A,1533,104,46,32,88,15,37,142,122,23,12
E01008355 : Newcastle upon Tyne 006B,1554,87,39,35,73,15,37,101,100,45,24
E01008356 : Newcastle upon Tyne 006C,1523,69,46,28,85,21,57,122,70,23,14
E01008378 : Newcastle upon Tyne 006D,1452,84,60,34,90,24,49,129,112,29,7
E01008419 : Newcastle upon Tyne 006E,1521,106,59,29,103,9,41,96,40,16,21
E01008421 : Newcastle upon Tyne 006F,1521,116,65,35,84,13,27,105,64,19,14
E01008423 : Newcastle upon Tyne 006G,1388,68,51,36,105,23,44,158,93,34,23
E01008317 : Newcastle upon Tyne 007A,1529,103,60,49,92,27,43,100,104,42,15
E01008319 : Newcastle upon Tyne 007B,1870,123,72,56,142,21,54,107,37,14,6
E01008320 : Newcastle upon Tyne 007C,1462,75,52,26,74,18,44,106,101,27,18
E01008321 : Newcastle upon Tyne 007D,1756,99,67,34,94,12,33,131,98,43,43
E01008322 : Newcastle upon Tyne 007E,1530,82,73,32,93,26,46,90,92,19,9
E01008323 : Newcastle upon Tyne 007F,1670,84,37,18,51,15,27,77,63,26,17
E01008295 : Newcastle upon Tyne 008A,1588,175,74,57,138,25,55,92,67,11,4
E01008374 : Newcastle upon Tyne 008B,1580,105,48,41,89,16,44,106,90,21,8
E01008375 : Newcastle upon Tyne 008C,1514,121,47,39,83,19,30,114,63,20,18
E01008376 : Newcastle upon Tyne 008D,1197,74,41,30,68,16,27,87,56,10,8
E01008377 : Newcastle upon Tyne 008E,2215,192,117,73,157,37,62,71,64,17,24
E01008379 : Newcastle upon Tyne 008F,1527,102,59,34,97,12,31,174,100,44,8
E01008380 : Newcastle upon Tyne 008G,1702,188,81,41,109,26,58,54,60,12,7
E01008296 : Newcastle upon Tyne 011A,1409,68,39,22,53,18,23,177,100,11,5
E01008297 : Newcastle upon Tyne 011B,1397,93,46,34,100,16,39,150,83,18,17
E01008298 : Newcastle upon Tyne 011C,1507,112,75,35,124,24,43,117,86,15,8
E01008299 : Newcastle upon Tyne 011D,1342,86,47,38,129,29,51,87,72,19,7
E01008314 : Newcastle upon Tyne 012A,1495,61,25,17,49,8,42,94,83,19,1
E01008315 : Newcastle upon Tyne 012B,1556,86,51,38,99,18,45,101,94,27,4
E01008316 : Newcastle upon Tyne 012C,1609,80,44,33,79,25,43,147,89,15,8
E01008318 : Newcastle upon Tyne 012D,1405,79,41,22,67,17,32,120,101,26,14
E01008363 : Newcastle upon Tyne 012E,1595,66,26,18,37,11,19,203,129,34,15
E01008365 : Newcastle upon Tyne 012F,1679,104,67,58,102,18,47,75,54,15,7
E01008366 : Newcastle upon Tyne 013A,2081,36,11,12,36,3,18,59,39,4,6
E01008369 : Newcastle upon Tyne 013B,1997,32,26,14,45,12,24,55,19,10,2
E01008371 : Newcastle upon Tyne 013C,1365,45,24,20,92,17,53,117,103,43,17
E01008372 : Newcastle upon Tyne 013D,1935,22,11,9,19,5,12,60,51,15,4
E01008373 : Newcastle upon Tyne 013E,2348,17,7,1,15,1,7,19,16,7,3
E01008400 : Newcastle upon Tyne 014A,1317,92,39,19,57,10,28,164,109,21,13
E01008401 : Newcastle upon Tyne 014B,1514,69,40,46,101,21,39,162,117,43,26
E01008402 : Newcastle upon Tyne 014C,1476,97,45,33,57,18,28,148,95,21,4
E01008403 : Newcastle upon Tyne 014D,1457,50,42,23,72,19,34,212,139,34,19
E01008404 : Newcastle upon Tyne 014E,1647,130,32,29,76,21,35,108,55,10,4
E01008405 : Newcastle upon Tyne 014F,1417,100,56,30,76,18,41,105,89,15,13
E01008443 : Newcastle upon Tyne 014G,1433,63,43,37,88,15,29,153,100,24,8
E01008324 : Newcastle upon Tyne 015A,1350,102,53,35,110,14,35,140,112,37,9
E01008325 : Newcastle upon Tyne 015B,1420,102,42,35,94,14,33,197,127,24,13
E01008326 : Newcastle upon Tyne 015C,1488,75,38,36,82,17,54,104,134,24,25
E01008327 : Newcastle upon Tyne 015D,1295,100,59,30,99,22,35,121,100,13,4
E01008328 : Newcastle upon Tyne 015E,1267,30,30,20,54,17,34,186,173,36,12
E01008329 : Newcastle upon Tyne 015F,1462,80,45,35,86,14,38,118,84,22,12
E01008330 : Newcastle upon Tyne 015G,1385,130,64,30,97,20,25,111,77,34,6
E01008300 : Newcastle upon Tyne 016A,1672,158,74,54,107,19,53,119,73,28,19
E01008450 : Newcastle upon Tyne 016B,1480,127,77,55,125,11,49,83,59,39,8
E01008451 : Newcastle upon Tyne 016C,1788,146,53,32,82,13,42,119,80,15,9
E01008452 : Newcastle upon Tyne 016D,1428,80,37,33,110,17,41,119,74,20,13
E01008367 : Newcastle upon Tyne 017A,2192,29,11,8,33,8,18,66,22,8,5
E01008368 : Newcastle upon Tyne 017B,1816,26,12,8,20,4,12,41,40,12,13
E01008370 : Newcastle upon Tyne 017C,1716,40,20,15,36,3,11,110,88,41,38
E01008409 : Newcastle upon Tyne 017D,1710,36,20,16,43,11,9,62,43,20,19
E01008411 : Newcastle upon Tyne 017E,1777,17,7,2,20,5,11,57,34,9,9
E01008303 : Newcastle upon Tyne 018A,1977,79,50,28,58,16,32,171,143,38,19
E01008359 : Newcastle upon Tyne 018B,1607,36,22,11,48,8,18,39,25,1,2
E01008360 : Newcastle upon Tyne 018C,1668,55,25,11,13,1,9,42,29,10,4
E01008361 : Newcastle upon Tyne 018D,1593,30,25,16,54,12,25,31,27,4,2
E01008362 : Newcastle upon Tyne 018E,1795,33,18,12,28,7,13,54,43,16,8
E01008364 : Newcastle upon Tyne 018F,1696,54,23,17,20,7,8,41,38,21,18
E01008343 : Newcastle upon Tyne 019A,1547,108,60,41,92,21,41,140,95,19,10
E01008344 : Newcastle upon Tyne 019B,1602,107,58,32,99,22,40,143,109,25,22
E01008345 : Newcastle upon Tyne 019C,1591,122,43,20,81,19,26,116,105,35,15
E01008346 : Newcastle upon Tyne 019D,1626,66,35,20,57,17,33,68,48,14,2
E01008347 : Newcastle upon Tyne 019E,1430,75,47,27,105,19,44,93,89,32,19
E01008348 : Newcastle upon Tyne 019F,1177,107,59,29,106,11,55,67,61,7,3
E01008349 : Newcastle upon Tyne 019G,1565,146,82,55,115,33,42,76,55,9,3
E01008350 : Newcastle upon Tyne 019H,1301,94,53,28,71,19,29,100,63,19,18
E01008430 : Newcastle upon Tyne 020A,1354,88,32,34,73,24,48,103,65,12,9
E01008431 : Newcastle upon Tyne 020B,1353,81,28,31,55,13,29,129,70,12,11
E01008433 : Newcastle upon Tyne 020C,1383,32,23,16,72,15,35,178,160,29,12
E01008434 : Newcastle upon Tyne 020D,1477,43,28,24,86,32,52,150,120,25,8
E01008435 : Newcastle upon Tyne 020E,1474,117,55,38,97,12,38,106,87,14,3
E01008436 : Newcastle upon Tyne 020F,1489,83,30,34,81,24,31,89,104,14,7
E01008381 : Newcastle upon Tyne 021A,1376,73,48,17,62,7,36,118,52,10,5
E01008382 : Newcastle upon Tyne 021B,1339,107,77,34,110,22,48,93,91,25,18
E01008383 : Newcastle upon Tyne 021C,1494,108,75,44,117,20,37,122,72,10,6
E01008384 : Newcastle upon Tyne 021D,1399,75,37,32,85,18,40,148,94,26,6
E01008385 : Newcastle upon Tyne 021E,1398,115,39,29,58,19,34,92,62,8,8
E01008386 : Newcastle upon Tyne 021F,1364,77,36,37,83,21,40,142,95,16,11
E01008387 : Newcastle upon Tyne 021G,1364,80,35,27,67,10,28,146,78,11,4
E01008396 : Newcastle upon Tyne 022B,2991,192,86,53,91,15,57,39,26,3,0
E01008398 : Newcastle upon Tyne 022C,1695,139,76,32,89,17,37,61,41,9,3
E01008449 : Newcastle upon Tyne 022D,1783,129,46,37,81,21,31,31,22,4,7
E01008453 : Newcastle upon Tyne 022E,1669,110,53,49,89,23,38,97,107,31,27
E01008455 : Newcastle upon Tyne 022G,1646,178,79,48,130,23,51,58,47,12,7
E01033556 : Newcastle upon Tyne 022H,2512,123,62,34,58,13,36,82,62,14,9
E01008406 : Newcastle upon Tyne 023A,1557,58,33,19,56,10,20,119,73,25,4
E01008407 : Newcastle upon Tyne 023B,2794,32,19,6,29,3,16,77,29,8,10
E01008410 : Newcastle upon Tyne 023D,1720,54,19,15,53,9,20,105,53,15,3
E01008412 : Newcastle upon Tyne 023E,1657,70,18,12,33,5,14,48,31,7,2
E01008413 : Newcastle upon Tyne 023F,1473,46,11,10,29,7,7,41,26,5,2
E01033548 : Newcastle upon Tyne 023G,1117,38,9,4,20,1,8,59,47,9,12
E01033553 : Newcastle upon Tyne 023H,2608,22,7,5,9,4,4,27,13,6,2
E01008394 : Newcastle upon Tyne 024A,1439,11,5,5,10,0,4,14,17,3,1
E01008395 : Newcastle upon Tyne 024B,1522,49,22,7,26,5,13,114,129,25,28
