lsoa11,pop_density
E01008294,40.7
E01008306,1.3
E01008307,2.8
E01008308,3.4
E01008311,28
E01008312,47.5
E01008313,49.3
E01008309,48.7
E01008352,15.1
E01008357,23
E01008358,22.2
E01033550,30.8
E01033551,3.8
E01008336,49.1
E01008337,62
E01008338,38.7
E01008339,39.4
E01008340,65.6
E01008341,67.2
E01008342,40.4
E01008293,21.4
E01008456,53.8
E01008457,37
E01008458,1.1
E01008459,61.1
E01008460,27.1
E01008351,28
E01008354,55.7
E01008418,55.1
E01008420,52.1
E01008422,41.9
E01008424,85.6
E01008353,49
E01008355,49.3
E01008356,39.7
E01008378,45.4
E01008419,47.3
E01008421,68.7
E01008423,27.3
E01008317,32.2
E01008319,28.1
E01008320,35.8
E01008321,21
E01008322,51.7
E01008323,51.4
E01008295,26.3
E01008374,61.6
E01008375,35.1
E01008376,60.5
E01008377,61.1
E01008379,16.6
E01008380,24.4
E01008296,40.6
E01008297,39.8
E01008298,43.5
E01008299,49.7
E01008314,33.8
E01008315,36.5
E01008316,69.6
E01008318,74.6
E01008363,36.4
E01008365,62.5
E01008366,105.4
E01008369,45.8
E01008371,29.9
E01008372,151.1
E01008373,223.2
E01008400,7.1
E01008401,38.8
E01008402,6.9
E01008403,15.1
E01008404,25.8
E01008405,17.6
E01008443,5.1
E01008324,60.5
E01008325,31.6
E01008326,54.7
E01008327,44.8
E01008328,31.8
E01008329,52.9
E01008330,62.3
E01008300,48.9
E01008450,59.4
E01008451,73.5
E01008452,28.7
E01008367,81.8
E01008368,145.6
E01008370,42.3
E01008409,64.1
E01008411,112.6
E01008303,58.7
E01008359,145.2
E01008360,67.6
E01008361,162.1
E01008362,156.8
E01008364,99.6
E01008343,44
E01008344,35.1
E01008345,44.8
E01008346,66.8
E01008347,64.2
E01008348,50.1
E01008349,78.3
E01008350,36
E01008430,79.6
E01008431,59.3
E01008433,25.3
E01008434,63
E01008435,59.4
E01008436,21.5
E01008381,18.8
E01008382,51.7
E01008383,42.5
E01008384,37.7
E01008385,54.5
E01008386,54.8
E01008387,8.3
E01008396,111.8
E01008398,136.1
E01008449,81
E01008453,44
E01008455,95.8
E01033556,51.5
E01008406,49.5
E01008407,97.2
E01008410,36.6
E01008412,99.2
E01008413,109.9
E01033548,44.2
E01033553,106.2
E01008394,202.7
E01008395,8.4
E01008397,13.1
E01008399,79.5
E01008439,62.4
E01033543,28.5
E01033545,23.8
E01033554,45.5
E01008415,17.6
E01008416,57.1
E01033547,19.7
E01008301,34.1
E01008302,60.8
E01008304,37
E01008305,52.6
E01008391,61
E01008392,15.8
E01008432,42.1
E01008288,35
E01008289,43
E01008290,23.3
E01008291,40.7
E01008292,63.9
E01008388,91.1
E01008389,69.5
E01008426,70
E01008429,36.3
E01008331,94.8
E01008332,118
E01008333,64.3
E01008334,72.7
E01008335,117
E01008437,13
E01008438,26.1
E01008390,63.4
E01008425,27.4
E01008427,19.5
E01008428,44.3
E01008441,45.1
E01008442,53.9
E01008444,29.4
E01008445,46.3
E01008446,46
E01008447,41
E01008448,21.1
