lsoa11cd,sqm_lsoa,sqm_green
E01008288,377866.702622464,44747.7494844988
E01008289,369438.573525311,7611.10006152697
E01008290,579663.6077532,77072.0441283691
E01008291,585404.109281588,18914.5406311235
E01008292,210038.700985428,20791.852873808
E01008293,677056.831505199,9635.50626002749
E01008294,372875.830438007,7.77434691928031
E01008296,347340.715047271,76754.2954117846
E01008297,351295.510507702,50073.8603157298
E01008298,346053.310999016,504.163402596415
E01008299,270092.778941752,792.582849510274
E01008300,341580.569965354,1213.06278397916
E01008301,615904.977122139,29614.0845865395
E01008303,336641.0631971,22.2699333146342
E01008304,519288.733718908,33233.809986093
E01008305,448471.3292692,19265.3784368639
E01008307,3618358.86887275,1283.89218122559
E01008311,598696.529994819,252.12961022295
E01008312,266198.374999334,54849.4622755231
E01008313,246738.232087619,54129.990647784
E01008314,442714.227774502,66489.3079411766
E01008315,425710.191352267,6374.55721810731
E01008316,231042.195177163,26593.6394949315
E01008317,474835.882579219,131670.19021364
E01008318,188395.578166944,18134.9115297994
E01008319,665760.170068239,174114.120141627
E01008320,407928.433967954,37213.3636506682
E01008321,837000.101869524,109641.175427921
E01008322,295866.640326261,76.7257479845822
E01008323,325072.425510895,13062.4378681472
E01008325,448947.570611664,714.294370511911
E01008329,276197.99509364,12132.6026505403
E01008331,198717.892877301,5680.10537665452
E01008333,288059.649127534,792.565884052216
E01008337,233251.656916129,0.485039569302702
E01008339,369669.680174495,9676.05823200176
E01008340,226650.612097269,36484.6554662924
E01008341,211641.260396387,29524.3499743062
E01008342,343176.663021987,188.449217899993
E01008343,351612.337236034,84059.9286651275
E01008344,456973.876490769,89437.6105632194
E01008345,355123.638166986,2225.54379848299
E01008346,243376.01246478,2042.80397175863
E01008347,222919.631134324,1024.94154001262
E01008348,234954.433505754,754.724218159843
E01008349,199983.113349116,23626.7919155154
E01008350,360972.914050756,37321.3241748451
E01008351,525201.177545119,76799.0336320295
E01008352,985801.516511452,747838.972911621
E01008353,312716.263447445,7293.31906202226
E01008357,710954.929481564,66476.7468477434
E01008358,664155.791910254,58047.585840908
E01008360,246743.853748101,31193.9875687705
E01008363,438116.741148585,76987.5367585641
E01008365,268768.086329703,32599.5734208518
E01008366,197374.417877077,6697.81521132867
E01008369,436065.045945039,6951.90231396454
E01008370,405648.593261672,21147.9259824108
E01008371,457113.256639063,759.900470065703
E01008372,127976.239932085,2701.63351413515
E01008374,256498.133095845,1181.80617636009
E01008375,431073.280315388,9.38227789217045
E01008379,921627.419923549,209701.152190969
E01008380,697688.124420007,287364.759628821
E01008381,730482.629283777,64779.1273471321
E01008382,259191.531977777,11335.0200799778
E01008383,351508.933899996,34993.920542255
E01008384,371064.803449666,4609.58106235158
E01008385,256462.602340855,7356.80122058925
E01008387,1865692.78937518,3260.07344686086
E01008388,197623.934458302,743.680175402473
E01008389,250258.733746326,130.353560956305
E01008390,337642.336779543,57812.5021289315
E01008391,243527.306060857,787.572177124026
E01008392,980318.200357232,7898.01040751134
E01008394,71072.6406029389,583.550331700909
E01008395,1804480.77741741,1215678.45838136
E01008396,267720.260862863,109529.151106535
E01008397,1373394.48464662,322254.786551464
E01008398,124412.36603695,2.70283268274728
E01008399,238380.058232009,1796.4179702509
E01008400,1982141.56539588,600186.338806256
E01008402,2124152.87776995,3895.06783039963
E01008403,964469.347222766,18233.0191619167
E01008404,685296.964404639,5677.09649532008
E01008406,317317.404996552,37601.0659103685
E01008409,266570.202505991,50074.8540857736
E01008410,470259.310539773,187732.684486308
E01008412,166905.762703161,34443.3081597624
E01008418,365277.450246969,11468.4425972866
E01008419,321212.695145589,46006.1256095723
E01008420,258687.168563374,8988.8965247403
E01008421,221424.587223146,7869.46543325759
E01008422,392928.881132175,36011.056032364
E01008423,508325.069574101,97286.7651403624
E01008424,203640.516047777,21604.773596035
E01008425,743015.625228068,53672.1507216109
E01008426,236263.134966293,27689.4403265227
E01008427,803024.231705904,197742.788056935
E01008428,292038.981964733,67784.1727677413
E01008429,416082.433819586,98449.2554053926
E01008433,546655.988288091,127604.708551292
E01008434,234352.945430457,4485.38986167882
E01008435,248059.274591003,38168.0425751727
E01008436,777211.533903244,67841.594958951
E01008437,1177267.92993179,54827.6186393883
E01008438,693143.867559067,3988.67510731884
E01008439,292960.191680952,3998.43265838944
E01008441,365668.898680436,44850.2634226872
E01008444,524810.184766349,68958.2042970583
E01008448,702009.929111411,895.99707994473
E01008452,497113.880994319,212251.100727776
E01008453,379047.318351287,96657.4778698266
E01008456,278542.802418995,51775.9399676247
E01008457,423089.528903967,78159.5859282364
E01008458,15599664.0133692,289623.737040557
E01008459,324434.423402601,153.201974204993
E01008460,572086.26907612,134.722480083989
E01008513,626372.522584861,3409.44788906898
E01008516,747743.514231115,0.502623854216357
E01008531,700216.576923402,824.379794589224
E01008535,1005611.48528255,900137.890729787
E01008577,4260402.82401792,513.000515583684
E01008580,262263.748594668,118.96372107922
E01008581,584126.965390386,12948.8694087564
E01027449,18845035.4923274,118992.352203278
E01033543,470537.223196925,1085.87386177914
E01033545,581880.444141201,2051.52999341989
E01033550,667680.969695287,11.6169812786058
E01033551,4659999.08752919,656706.402663968
E01033554,288267.797056401,1845.74040115098
E01033556,487574.205615875,131353.12367446
