lsoa11,per_walking
E01008294,51
E01008294,4.3
E01008306,43
E01008306,3.5
E01008307,31
E01008307,4.3
E01008308,41
E01008308,3.9
E01008311,45
E01008311,3.5
E01008312,45
E01008312,4.8
E01008313,64
E01008313,6.9
E01008309,40
E01008309,3.4
E01008352,62
E01008352,5.9
E01008357,33
E01008357,2.8
E01008358,96
E01008358,8.6
E01033550,25
E01033550,1.8
E01033551,37
E01033551,2.9
E01008336,71
E01008336,7.1
E01008337,76
E01008337,7.8
E01008338,77
E01008338,8.5
E01008339,89
E01008339,8.3
E01008340,92
E01008340,8.9
E01008341,101
E01008341,10.1
E01008342,33
E01008342,3.2
E01008293,58
E01008293,5.2
E01008456,64
E01008456,6.1
E01008457,43
E01008457,3.8
E01008458,46
E01008458,3.9
E01008459,61
E01008459,4.9
E01008460,44
E01008460,4.2
E01008351,80
E01008351,7.7
E01008354,115
E01008354,8.9
E01008418,115
E01008418,7.9
E01008420,82
E01008420,8.4
E01008422,94
E01008422,7.3
E01008424,131
E01008424,9.2
E01008353,97
E01008353,8.9
E01008355,98
E01008355,8.6
E01008356,67
E01008356,5.7
E01008378,42
E01008378,4.2
E01008419,78
E01008419,6.9
E01008421,81
E01008421,7.3
E01008423,46
E01008423,4.8
E01008317,91
E01008317,8.8
E01008319,66
E01008319,4.7
E01008320,106
E01008320,9.9
E01008321,118
E01008321,9.3
E01008322,116
E01008322,10.5
E01008323,164
E01008323,12.1
E01008295,58
E01008295,5.6
E01008374,63
E01008374,5.4
E01008375,72
E01008375,6.5
E01008376,40
E01008376,4.5
E01008377,80
E01008377,5.2
E01008379,54
E01008379,5
E01008380,52
E01008380,4.4
E01008296,42
E01008296,3.8
E01008297,56
E01008297,5.7
E01008298,40
E01008298,3.9
E01008299,65
E01008299,7.1
E01008314,78
E01008314,6.3
E01008315,97
E01008315,8.5
E01008316,84
E01008316,6.8
E01008318,108
E01008318,10.4
E01008363,93
E01008363,7.4
E01008365,92
E01008365,7.3
E01008366,190
E01008366,9.8
E01008369,201
E01008369,10.9
E01008371,84
E01008371,8.4
E01008372,163
E01008372,9.1
E01008373,181
E01008373,7.9
E01008400,46
E01008400,4.8
E01008401,71
E01008401,6.8
E01008402,39
E01008402,3.5
E01008403,45
E01008403,4.2
E01008404,46
E01008404,3.6
E01008405,66
E01008405,6.5
E01008443,22
E01008443,2.1
E01008324,57
E01008324,6.5
E01008325,46
E01008325,4.7
E01008326,39
E01008326,3.7
E01008327,49
E01008327,5.6
E01008328,23
E01008328,2.6
E01008329,33
E01008329,3
E01008330,36
E01008330,3.9
E01008300,50
E01008300,4.4
E01008450,62
E01008450,6.3
E01008451,95
E01008451,7
E01008452,52
E01008452,5
E01008367,307
E01008367,14.8
E01008368,194
E01008368,11.5
E01008370,226
E01008370,15.7
E01008409,246
E01008409,16.4
E01008411,315
E01008411,18.8
E01008303,104
E01008303,6.7
E01008359,148
E01008359,10.2
E01008360,150
E01008360,9.9
E01008361,155
E01008361,10.9
E01008362,195
E01008362,12
E01008364,146
E01008364,9.7
E01008343,67
E01008343,6.1
E01008344,53
E01008344,4.7
E01008345,57
E01008345,5
E01008346,74
E01008346,5.4
E01008347,62
E01008347,6.1
E01008348,42
E01008348,5.3
E01008349,42
E01008349,3.9
E01008350,44
E01008350,4.7
E01008430,41
E01008430,4
E01008431,62
E01008431,5.9
E01008433,35
E01008433,3.4
E01008434,40
E01008434,3.6
E01008435,71
E01008435,6.8
E01008436,74
E01008436,6.7
E01008381,20
E01008381,1.8
E01008382,39
E01008382,4.6
E01008383,61
E01008383,5.9
E01008384,31
E01008384,3
E01008385,38
E01008385,3.6
E01008386,28
E01008386,2.8
E01008387,19
E01008387,1.8
E01008396,191
E01008396,7.6
E01008398,128
E01008398,9.9
E01008449,109
E01008449,7.6
E01008453,79
E01008453,6.7
E01008455,62
E01008455,5.5
E01033556,250
E01033556,11.7
E01008406,162
E01008406,12.7
E01008407,385
E01008407,14.5
E01008410,223
E01008410,14.9
E01008412,247
E01008412,16.7
E01008413,174
E01008413,13
E01033548,166
E01033548,17
E01033553,367
E01033553,14.4
E01008394,142
E01008394,10.2
E01008395,173
E01008395,14.1
E01008397,169
E01008397,9.6
E01008399,128
E01008399,9.7
E01008439,158
E01008439,12.1
E01033543,263
E01033543,20.9
E01033545,268
E01033545,23.4
E01033554,255
E01033554,21.4
E01008415,43
E01008415,5
E01008416,44
E01008416,3.4
E01033547,71
E01033547,4.9
E01008301,88
E01008301,6
E01008302,97
E01008302,8
E01008304,126
E01008304,8.5
E01008305,138
E01008305,9.6
E01008391,79
E01008391,7.5
E01008392,109
E01008392,8.9
E01008432,49
E01008432,4.7
E01008288,40
E01008288,4
E01008289,74
E01008289,7
E01008290,51
E01008290,5.5
E01008291,87
E01008291,6
E01008292,30
E01008292,3
E01008388,83
E01008388,6.6
E01008389,90
E01008389,7.4
E01008426,89
E01008426,8
E01008429,59
E01008429,6.1
E01008331,105
E01008331,8.1
E01008332,104
E01008332,6.7
E01008333,95
E01008333,7.5
E01008334,86
E01008334,5.8
E01008335,79
E01008335,5.6
E01008437,65
E01008437,7.5
E01008438,132
E01008438,10.3
E01008390,57
E01008390,4.8
E01008425,61
E01008425,4.5
E01008427,31
E01008427,3.5
E01008428,60
E01008428,6.6
E01008441,62
E01008441,5.3
E01008442,14
E01008442,1.4
E01008444,38
E01008444,3.3
E01008445,74
E01008445,5.3
E01008446,31
E01008446,2.9
E01008447,28
E01008447,3
E01008448,14
E01008448,1.2
