gml_id,walk_00,walk200,walk500
id48F45803-A492-534C-E053-2462A00A4944,NA,NA,NA
id48F4588C-FF47-534C-E053-2462A00A4944,NA,NA,46
id48F457F7-EE01-534C-E053-2462A00A4944,NA,NA,46
id48F4588C-FF48-534C-E053-2462A00A4944,NA,NA,46
id48F4588C-FF9D-534C-E053-2462A00A4944,NA,NA,569
id48F4588C-FFD0-534C-E053-2462A00A4944,0,0,173
id48F45803-C46B-534C-E053-2462A00A4944,NA,NA,140
id48F45803-CA7A-534C-E053-2462A00A4944,0,NA,NA
id48F4588C-FFBF-534C-E053-2462A00A4944,NA,NA,569
id48F457FB-542A-534C-E053-2462A00A4944,NA,NA,49
id48F45803-CB10-534C-E053-2462A00A4944,NA,NA,49
id48F45803-D087-534C-E053-2462A00A4944,128,323,368
id48F45803-D653-534C-E053-2462A00A4944,49,128,368
id48F45803-D626-534C-E053-2462A00A4944,79,128,368
id48F45803-D8A3-534C-E053-2462A00A4944,NA,0,173
id48F45803-D8A8-534C-E053-2462A00A4944,0,0,0
id48F457FF-EC6E-534C-E053-2462A00A4944,0,NA,0
id48F45803-A294-534C-E053-2462A00A4944,NA,NA,536
id48F45803-A2E6-534C-E053-2462A00A4944,NA,6,359
id48F45803-9AD5-534C-E053-2462A00A4944,156,278,530
id48F45803-A2E5-534C-E053-2462A00A4944,NA,6,237
id48F45803-A299-534C-E053-2462A00A4944,NA,51,536
id48F45803-A2F5-534C-E053-2462A00A4944,NA,201,308
id48F45803-A35E-534C-E053-2462A00A4944,6,237,308
id48F45803-A31E-534C-E053-2462A00A4944,156,308,308
id48F45803-9C26-534C-E053-2462A00A4944,NA,NA,308
id48F457F8-1F9D-534C-E053-2462A00A4944,NA,NA,530
id48F45803-A319-534C-E053-2462A00A4944,NA,NA,308
id48F45803-A3EF-534C-E053-2462A00A4944,NA,NA,257
id48F45803-9C89-534C-E053-2462A00A4944,NA,NA,NA
id48F45803-9C85-534C-E053-2462A00A4944,NA,NA,NA
